Category,Product,Unit,Price,Slash Price,Savings,Percent savings,Unit Cost,Cost per 100g/ml,Details Link,Start URL
Beverage,100Plus Active,4 x 300 ml,6.50,6.63,0.13,2.00,1.62,0.54,https://myaeon2go.com/product/9819/active,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,100Plus Isotonic Drink 1.5 liter,,3.86,,,,,,https://myaeon2go.com/product/5136/original-isotonic-drink,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,100Plus Isotonic Drink 500 ml,,2.12,,,,,,https://myaeon2go.com/product/2/original-isotonic-drink,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,100Plus Lemon Lime,325 ml,1.79,,,,,0.55,https://myaeon2go.com/product/9817/lemon-lime,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,100Plus Lemon Lime Isotonic Drink,500 ml,2.12,,,,,0.42,https://myaeon2go.com/product/1/lemon-lime-isotonic-drink,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,100Plus Lemon Lime Pet,1.5 liter,4.10,,,,,0.27,https://myaeon2go.com/product/41683/lemon-lime-pet,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,100Plus Original Isotonic Drink,6 x 325 ml,8.99,9.83,0.84,8.50,1.50,0.46,https://myaeon2go.com/product/9/original-isotonic-drink,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,100Plus Original Isotonic Drink,1.5 liter,3.86,,,,,0.26,https://myaeon2go.com/product/5136/original-isotonic-drink,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,100Plus Original Isotonic Drink,500 ml,2.12,,,,,0.42,https://myaeon2go.com/product/2/original-isotonic-drink,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,100Plus Reduced Sugar Original Isotonic Drink,1.5 liter,3.86,,,,,0.26,https://myaeon2go.com/product/5135/reduced-sugar-original-isotonic-drink,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,100Plus Zero Sugar Isotonic Drink,1.5 liter,3.86,,,,,0.26,https://myaeon2go.com/product/7/zero-sugar-isotonic-drink,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,137 Degrees Walnut Milk Matcha Green Tea,1 liter,24.28,,,,,2.43,https://myaeon2go.com/product/9822/walnut-milk-matcha-green-tea,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,7 UP 1.5 liter,,3.19,3.93,0.74,18.80,,,https://myaeon2go.com/product/23/original,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,7 Up Original,1.5 liter,3.19,3.93,0.74,18.80,,0.21,https://myaeon2go.com/product/23/original,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,7 Up Original,4 x 320 ml,5.90,7.13,1.23,17.30,1.48,0.46,https://myaeon2go.com/product/26/original,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,7 Up Original,500 ml,2.50,,,,,0.50,https://myaeon2go.com/product/10544/original,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,7 Up Original,320 ml,1.89,,,,,0.59,https://myaeon2go.com/product/25/original,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,7 Up Zero,1.5 liter,3.19,3.93,0.74,18.80,,0.21,https://myaeon2go.com/product/24/7-up-zero-1-5-liter,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
