Category,Product,Unit,Price,Slash Price,Savings,Percent savings,Unit Cost,Details Link,Start URL
Bakery,7Days Chocolate 4Pcs Family Pack,,6.80,,,,,"<a href=""https://www.lotuss.com.my/en/product/7days-chocolate-4pcs-family-pack-73735965"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,7Days Chocolate Croissant,60 g,1.90,,,,,"<a href=""https://www.lotuss.com.my/en/product/7days-chocolate-croissant-60gm-73081124"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,7Days Croissant Butter,60 g,1.90,,,,,"<a href=""https://www.lotuss.com.my/en/product/7-days-croissant-butter-60gm-73831972"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,7Days Doublecream Choc N Van,62 g,2.00,,,,,"<a href=""https://www.lotuss.com.my/en/product/75136127"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,7Days Doublecream Van N Frst Berries,62 g,2.00,,,,,"<a href=""https://www.lotuss.com.my/en/product/75136128"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,7Days Vanilla 4Pcs Family Pack,,6.80,,,,,"<a href=""https://www.lotuss.com.my/en/product/7-days-croissant-with-vanilla-cream-filling-4-x-60g-240g-74644793"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,7Days Vanilla Croissant,60 g,1.90,,,,,"<a href=""https://www.lotuss.com.my/en/product/7days-vanilla-croissant-60gm-73081132"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Assorted Almond Donut (0139) 4pcs,4 pcs,6.69,,,,1.67,"<a href=""https://www.lotuss.com.my/en/product/75053160"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Assorted Donut (0909) 6pcs,6 pcs,9.49,,,,1.58,"<a href=""https://www.lotuss.com.my/en/product/assorted-donut-6pcs-73782777"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Assorted Puff (1004) 4pcs,4 pcs,6.99,,,,1.75,"<a href=""https://www.lotuss.com.my/en/product/75101184"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Assorted Savouries Donut (0658) 4pcs,4 pcs,6.69,,,,1.67,"<a href=""https://www.lotuss.com.my/en/product/asst-savouries-donut-4s-0658-74922475"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Auntie Rosie Kaya - Original,200 g,3.90,,,,,"<a href=""https://www.lotuss.com.my/en/product/auntie-rosie-kaya-original-10855"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Auntie Rosie Kaya - Pandan,200 g,3.90,,,,,"<a href=""https://www.lotuss.com.my/en/product/auntie-rosie-kaya-pandan-10944"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Baguette N (0003),,4.29,,,,,"<a href=""https://www.lotuss.com.my/en/product/baguette-n-0003-74628844"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
