Category,Product,Unit,Price,Slash Price,Savings,Percent savings,Details Link,Start URL
Beverages,100 Plus Active Asp 1L,1 liter,3.19,3.30,0.11,3.30,https://vgg.bites.com.my/collections/beverages/products/100-plus-active-asp-1l,https://vgg.bites.com.my/collections/beverages?page=5
Beverages,100 Plus Active Asp 500Ml,500 ml,2.30,,,,https://vgg.bites.com.my/collections/beverages/products/100-plus-active-asp-500ml,https://vgg.bites.com.my/collections/beverages?page=5
Beverages,100 Plus Lemon Lime 1.5L,1.5 liter,4.45,,,,https://vgg.bites.com.my/collections/beverages/products/100-plus-lemon-lime-1-5l,https://vgg.bites.com.my/collections/beverages?page=17
Beverages,100 Plus Lemon Lime 325Ml,325 ml,1.75,,,,https://vgg.bites.com.my/collections/beverages/products/100-plus-lemon-lime-325ml,https://vgg.bites.com.my/collections/beverages?page=9
Beverages,100 Plus Lemon Lime 500Ml,500 ml,2.30,,,,https://vgg.bites.com.my/collections/beverages/products/100-plus-lemon-lime-500ml,https://vgg.bites.com.my/collections/beverages?page=5
Beverages,100 Plus Original 1.5L,1.5 liter,4.45,,,,https://vgg.bites.com.my/collections/beverages/products/100-plus-original-1-5l,https://vgg.bites.com.my/collections/beverages?page=5
Beverages,100 Plus Original 325Ml,325 ml,1.75,,,,https://vgg.bites.com.my/collections/beverages/products/100-plus-original-325ml,https://vgg.bites.com.my/collections/beverages?page=3
Beverages,100 Plus Original 500Ml,500 ml,2.30,,,,https://vgg.bites.com.my/collections/beverages/products/100-plus-original-500ml,https://vgg.bites.com.my/collections/beverages?page=3
Beverages,100 Plus Original Rs 1.5L,1.5 liter,4.45,,,,https://vgg.bites.com.my/collections/beverages/products/100-plus-original-rs-1-5l,https://vgg.bites.com.my/collections/beverages?page=5
Beverages,100 Plus Original Rs 500Ml,500 ml,2.30,,,,https://vgg.bites.com.my/collections/beverages/products/100-plus-original-rs-500ml,https://vgg.bites.com.my/collections/beverages?page=5
Beverages,100 Plus Original Zero 1.5L,1.5 liter,4.45,,,,https://vgg.bites.com.my/collections/beverages/products/100-plus-original-zero-1-5l,https://vgg.bites.com.my/collections/beverages?page=5
Beverages,100 Plus Original Zero 500Ml,500 ml,2.30,,,,https://vgg.bites.com.my/collections/beverages/products/100-plus-original-zero-500ml,https://vgg.bites.com.my/collections/beverages?page=5
Beverages,3 Legs Cooling Water 200Ml,200 ml,1.85,,,,https://vgg.bites.com.my/collections/beverages/products/3-legs-cooling-water-200ml,https://vgg.bites.com.my/collections/beverages?page=2
Beverages,3 Legs Cooling Water 500Ml,500 ml,3.25,,,,https://vgg.bites.com.my/collections/beverages/products/3-legs-cooling-water-500ml,https://vgg.bites.com.my/collections/beverages?page=13
