Category,Product,Unit,Price,Slash Price,Savings,Percent savings,Details Link,Start URL
Beverages,100 Plus Active Asp 1L,1 liter,3.30,,,,https://vgg.bites.com.my/collections/beverages/products/100-plus-active-asp-1l,https://vgg.bites.com.my/collections/beverages
Beverages,100 Plus Active Asp 500Ml,500 ml,2.30,,,,https://vgg.bites.com.my/collections/beverages/products/100-plus-active-asp-500ml,https://vgg.bites.com.my/collections/beverages
Beverages,100 Plus Active Replenish 300Ml,300 ml,1.75,,,,https://vgg.bites.com.my/collections/beverages/products/100-plus-active-replenish-300ml,https://vgg.bites.com.my/collections/beverages
Beverages,100 Plus Active Replenish 4X300Ml,4 x 300 ml,6.75,,,,https://vgg.bites.com.my/collections/beverages/products/100-plus-active-replenish-4x300ml,https://vgg.bites.com.my/collections/beverages
Beverages,100 Plus Lemon Lime 1.5L,1.5 liter,3.69,4.45,0.76,17.10,https://vgg.bites.com.my/collections/beverages/products/100-plus-lemon-lime-1-5l,https://vgg.bites.com.my/collections/beverages
Beverages,100 Plus Lemon Lime 325Ml,325 ml,1.75,,,,https://vgg.bites.com.my/collections/beverages/products/100-plus-lemon-lime-325ml,https://vgg.bites.com.my/collections/beverages
Beverages,100 Plus Original 1.5L,1.5 liter,3.69,4.45,0.76,17.10,https://vgg.bites.com.my/collections/beverages/products/100-plus-original-1-5l,https://vgg.bites.com.my/collections/beverages
Beverages,100 Plus Original 1.75L,1.75 liter,3.69,4.45,0.76,17.10,https://vgg.bites.com.my/collections/beverages/products/100-plus-original-1-75l,https://vgg.bites.com.my/collections/beverages
Beverages,100 Plus Original 24X325Ml,24 x 325 ml,42.00,,,,https://vgg.bites.com.my/collections/beverages/products/100-plus-original-24x325ml,https://vgg.bites.com.my/collections/beverages
Beverages,100 Plus Original 325Ml,325 ml,1.75,,,,https://vgg.bites.com.my/collections/beverages/products/100-plus-original-325ml,https://vgg.bites.com.my/collections/beverages
Beverages,100 Plus Original 500Ml,500 ml,2.30,,,,https://vgg.bites.com.my/collections/beverages/products/100-plus-original-500ml,https://vgg.bites.com.my/collections/beverages
Beverages,100 Plus Original 6X325Ml,6 x 325 ml,10.35,,,,https://vgg.bites.com.my/collections/beverages/products/100-plus-original-6x325ml,https://vgg.bites.com.my/collections/beverages
Beverages,100 Plus Original Rs 1.5L,1.5 liter,3.69,4.45,0.76,17.10,https://vgg.bites.com.my/collections/beverages/products/100-plus-original-rs-1-5l,https://vgg.bites.com.my/collections/beverages
Beverages,100 Plus Original Rs 500Ml,500 ml,2.30,,,,https://vgg.bites.com.my/collections/beverages/products/100-plus-original-rs-500ml,https://vgg.bites.com.my/collections/beverages
Beverages,100 Plus Original Zero 500Ml,500 ml,2.30,,,,https://vgg.bites.com.my/collections/beverages/products/100-plus-original-zero-500ml,https://vgg.bites.com.my/collections/beverages
Beverages,100 Plus Zero 1.5L,1.5 liter,3.69,4.45,0.76,17.10,https://vgg.bites.com.my/collections/beverages/products/100-plus-zero-1-5l,https://vgg.bites.com.my/collections/beverages
Beverages,100 Plus Zero 1.75L,1.75 liter,3.69,4.45,0.76,17.10,https://vgg.bites.com.my/collections/beverages/products/100-plus-zero-1-75l,https://vgg.bites.com.my/collections/beverages
Beverages,100 Plus Zero 2(2+10X325Ml),,35.00,,,,https://vgg.bites.com.my/collections/beverages/products/100-plus-zero-2-2-10x325ml,https://vgg.bites.com.my/collections/beverages
Beverages,100 Plus Zero 4X6X325Ml,,40.30,,,,https://vgg.bites.com.my/collections/beverages/products/100-plus-zero-4x6x325ml,https://vgg.bites.com.my/collections/beverages
Beverages,100 Plus Zero 6X325Ml,6 x 325 ml,10.35,,,,https://vgg.bites.com.my/collections/beverages/products/100-plus-zero-6x325ml,https://vgg.bites.com.my/collections/beverages
Beverages,100 Plus Zero Peach 1.5L,1.5 liter,3.69,4.45,0.76,17.10,https://vgg.bites.com.my/collections/beverages/products/100-plus-zero-peach-1-5l,https://vgg.bites.com.my/collections/beverages
Beverages,3 Legs Cooling Water 200Ml,200 ml,1.85,,,,https://vgg.bites.com.my/collections/beverages/products/3-legs-cooling-water-200ml,https://vgg.bites.com.my/collections/beverages
Beverages,3 Legs Cooling Water 500Ml,500 ml,2.79,3.25,0.46,14.20,https://vgg.bites.com.my/collections/beverages/products/3-legs-cooling-water-500ml,https://vgg.bites.com.my/collections/beverages
Beverages,3 Legs Cooling Water 6X200Ml,6 x 200 ml,9.60,,,,https://vgg.bites.com.my/collections/beverages/products/3-legs-cooling-water-6x200ml,https://vgg.bites.com.my/collections/beverages
Beverages,3 Legs Cooltopia Cooling Water Guava 320Ml,320 ml,2.69,3.25,0.56,17.20,https://vgg.bites.com.my/collections/beverages/products/3-legs-cooltopia-cooling-water-guava-320ml,https://vgg.bites.com.my/collections/beverages
Beverages,3 Legs Cooltopia Cooling Water Lychee 320Ml,320 ml,2.69,3.25,0.56,17.20,https://vgg.bites.com.my/collections/beverages/products/3-legs-cooltopia-cooling-water-lychee-320ml,https://vgg.bites.com.my/collections/beverages
Beverages,3 Legs Cooltopia Cooling Water Zesty Lime 320Ml,320 ml,2.69,3.25,0.56,17.20,https://vgg.bites.com.my/collections/beverages/products/3-legs-cooltopia-cooling-water-zesty-lime-320ml,https://vgg.bites.com.my/collections/beverages
Beverages,7Up 1.5L,1.5 liter,3.19,4.70,1.51,32.10,https://vgg.bites.com.my/collections/beverages/products/7up-1-5l,https://vgg.bites.com.my/collections/beverages
Beverages,7Up 500Ml,500 ml,2.70,,,,https://vgg.bites.com.my/collections/beverages/products/7up-500ml,https://vgg.bites.com.my/collections/beverages
