Start URL,Category,Product,Price,Slash Price,Details Link
https://jgut.jayagrocer.com/collections/eggs,Eggs,NutriPlus Omega-3 Chicken Eggs 15pcs/pack,RM 11.50,,https://jgut.jayagrocer.com/products/nutriplus-omega-3-chicken-eggs-15pcs-1?variant=40939422843041
https://jgut.jayagrocer.com/collections/eggs,Eggs,Nutriplus Kampung Eggs with Omega-3 10pcs/pack,RM 8.60,,https://jgut.jayagrocer.com/products/nutriplus-kampung-eggs-with-omega-3-10pcs-1?variant=40939135500449
https://jgut.jayagrocer.com/collections/eggs,Eggs,NutriPlus Jumbo Eggs with Omega 3 10pcs/pack,RM 9.15,,https://jgut.jayagrocer.com/products/nutriplus-jumbo-eggs-with-omega-3-10pcs-1?variant=40940011946145
https://jgut.jayagrocer.com/collections/eggs,Eggs,QL Omega Eggs with Omega 3 and DHA (Large) 15pcs/pack,RM 12.00,,https://jgut.jayagrocer.com/products/ql-omega-eggs-with-omega-3-and-dha-grade-a-15pcs-1?variant=40939457872033
https://jgut.jayagrocer.com/collections/eggs,Eggs,Telur Ayam Kampung 10pcs/pack,RM 8.40,,https://jgut.jayagrocer.com/products/lau-kon-hing-fresh-telur-ayam-kampung-grade-a-kampung-chicken-eggs-10pcs-1?variant=40939672404129
https://jgut.jayagrocer.com/collections/eggs,Eggs,NutriPlus Fresh Eggs with Omega 3 10pcs/pack,RM 7.90,,https://jgut.jayagrocer.com/products/nutriplus-fresh-eggs-with-omega-3-grade-a-10pcs-1?variant=40939444109473
https://jgut.jayagrocer.com/collections/eggs,Eggs,LK Fresh All Natural Farm Fresh Eggs 12pcs/pack,RM 9.30,,https://jgut.jayagrocer.com/products/lk-fresh-all-natural-farm-fresh-eggs-l-size-12pcs-1?variant=40939518394529
https://jgut.jayagrocer.com/collections/eggs,Eggs,QL Omega Eggs with Omega 3 and DHA (Medium) 10pcs/pack,RM 8.00,,https://jgut.jayagrocer.com/products/ql-omega-eggs-with-omega-3-and-dha-grade-a-10pieces-1?variant=40939457904801
https://jgut.jayagrocer.com/collections/eggs,Eggs,LK Fresh Lovegg Chicken Eggs Grade A 12pcs/pack,RM 9.80,,https://jgut.jayagrocer.com/products/lkfresh-lovegg-chicken-eggs-grade-a-12pcs?variant=40939518001313
https://jgut.jayagrocer.com/collections/eggs,Eggs,QL Sakura Fresh Eggs 10pcs/pack,RM 8.00,,https://jgut.jayagrocer.com/products/ql-sakura-fresh-eggs-10pcs-1?variant=40940079448225
https://jgut.jayagrocer.com/collections/eggs,Eggs,LTK Organic Selenium Plus Egg 10pcs/pack,RM 8.30,,https://jgut.jayagrocer.com/products/ltk-organic-selenium-plus-egg-grade-a-50g-1?variant=40939430576289
https://jgut.jayagrocer.com/collections/eggs,Eggs,Sandy Free Range Chicken Eggs 10pcs/pack,RM 14.50,,https://jgut.jayagrocer.com/products/sandy-free-range-chicken-eggs-10s?variant=40940519325857
https://jgut.jayagrocer.com/collections/eggs,Eggs,LTK Omega Plus Chicken Egg 10pcs/pack,RM 8.30,,https://jgut.jayagrocer.com/products/ltk-omega-plus-chicken-egg-10pcs-1?variant=40939168727201
https://jgut.jayagrocer.com/collections/eggs,Eggs,DFresh Classic Chicken Eggs 10pcs/pack,RM 8.00,,https://jgut.jayagrocer.com/products/d-fresh-classic-chicken-eggs-grade-a-55g-1?variant=40940093538465
https://jgut.jayagrocer.com/collections/eggs,Eggs,Lau Kon Hing Eggs Dealer Duck Century Egg 4pcs/pack,RM 10.75,,https://jgut.jayagrocer.com/products/lau-kon-hing-eggs-dealer-duck-century-egg-4pcs-1?variant=40939168563361
