Category,Product,Unit,Price,Slash Price,Savings,Percent savings,Unit Cost,Details Link,Start URL
Bakery,8 Grain Bread 1unit,,8.30,,,,,https://jgsj.jayagrocer.com/products/8-grain-bread-320g-1?variant=41612411011239,https://jgsj.jayagrocer.com/collections/bakery
Bakery,"Anpan (Red Bean) pack, 3pcs",3 pcs,6.00,,,,2.00,https://jgsj.jayagrocer.com/products/anpan-red-bean-3pcs-pack?variant=44737107853479,https://jgsj.jayagrocer.com/collections/bakery
Bakery,Artisan Baguette 1unit,,7.50,,,,,https://jgsj.jayagrocer.com/products/artisan-baguette-1-pc-1?variant=41612147392679,https://jgsj.jayagrocer.com/collections/bakery
Bakery,"Baby Bun pack, 10pcs",10 pcs,5.30,,,,0.53,https://jgsj.jayagrocer.com/products/baby-bun-10-pcs?variant=41612433227943,https://jgsj.jayagrocer.com/collections/bakery
Bakery,Banana Cake 1unit,,8.50,,,,,https://jgsj.jayagrocer.com/products/banana-cake-1-pc-1?variant=41612440797351,https://jgsj.jayagrocer.com/collections/bakery
Bakery,Blueberries Muffin 1 pc,1 pc,12.90,,,,,https://jgsj.jayagrocer.com/products/blueberries-muffin-1-pc-1?variant=41612455837863,https://jgsj.jayagrocer.com/collections/bakery
Bakery,Butter Croissant,,15.50,,,,,https://jgsj.jayagrocer.com/products/butter-croissant-4pcs-pack?variant=43455214321831,https://jgsj.jayagrocer.com/collections/bakery
Bakery,Caramel Cranberry Cream Cheese,,14.50,,,,,https://jgsj.jayagrocer.com/products/caramel-cranberry-cream-cheese-4pcs-pack?variant=43466667753639,https://jgsj.jayagrocer.com/collections/bakery
Bakery,Cheese Loaf 1unit,,8.90,,,,,https://jgsj.jayagrocer.com/products/cheese-loaf-1-pc-1?variant=41612057444519,https://jgsj.jayagrocer.com/collections/bakery
Bakery,Chicken Sausage Bun,,9.90,,,,,https://jgsj.jayagrocer.com/products/chicken-sausage-bun-4pcs-pack?variant=44764382658727,https://jgsj.jayagrocer.com/collections/bakery
Bakery,Chiffon Cake Pandan (Big) 1pack,,12.90,,,,,https://jgsj.jayagrocer.com/products/chiffon-cake-pandan-big-1pack?variant=46738419548327,https://jgsj.jayagrocer.com/collections/bakery
Bakery,Chocolate Chips Muffin 1unit,,14.90,,,,,https://jgsj.jayagrocer.com/products/chocolate-chips-muffin-1-pc-1?variant=41612438503591,https://jgsj.jayagrocer.com/collections/bakery
Bakery,Ciabatta 1unit,,5.90,,,,,https://jgsj.jayagrocer.com/products/ciabatta-1-pc-1?variant=41612414582951,https://jgsj.jayagrocer.com/collections/bakery
Bakery,Country Herb Baguette 1unit,,7.00,,,,,https://jgsj.jayagrocer.com/products/country-herb-baguette-1-pc-1?variant=41612412158119,https://jgsj.jayagrocer.com/collections/bakery
Bakery,Cranberry Swiss Roll 1unit,,12.90,,,,,https://jgsj.jayagrocer.com/products/cranberry-swiss-roll-1-pc-1?variant=41612273877159,https://jgsj.jayagrocer.com/collections/bakery
Bakery,"English Muffin pack, 3pcs",3 pcs,5.50,,,,1.83,https://jgsj.jayagrocer.com/products/english-muffin-1pack-1?variant=41611993776295,https://jgsj.jayagrocer.com/collections/bakery
Bakery,"Foccacia Bread pack, 3pcs",3 pcs,6.90,,,,2.30,https://jgsj.jayagrocer.com/products/foccacia-bread-3pcs-pack-1?variant=41612499353767,https://jgsj.jayagrocer.com/collections/bakery
Bakery,French Loaf 1unit,,4.90,,,,,https://jgsj.jayagrocer.com/products/french-loaf-1pc-1?variant=41612411502759,https://jgsj.jayagrocer.com/collections/bakery
Bakery,French Village Bread 1unit,,8.90,,,,,https://jgsj.jayagrocer.com/products/french-village-bread-1-pc-1?variant=41612460884135,https://jgsj.jayagrocer.com/collections/bakery
Bakery,"Plain Butter Roll pack, 5pcs",5 pcs,5.30,,,,1.06,https://jgsj.jayagrocer.com/products/plain-butter-roll-5-pcs-1?variant=41612078547111,https://jgsj.jayagrocer.com/collections/bakery
Bakery,"Plain Sausage Bun pack, 5pcs",5 pcs,6.30,,,,1.26,https://jgsj.jayagrocer.com/products/hot-dog-bun-5pcs-1?variant=41611923357863,https://jgsj.jayagrocer.com/collections/bakery
Bakery,Portuguese Egg Tart,,3.50,,,,,https://jgsj.jayagrocer.com/products/portuguese-egg-tart?variant=46845373087911,https://jgsj.jayagrocer.com/collections/bakery
Bakery,Premium Butter Cake 1unit,,15.90,,,,,https://jgsj.jayagrocer.com/products/premium-butter-cake-1-pc-1?variant=41612501942439,https://jgsj.jayagrocer.com/collections/bakery
Bakery,Premium Marble Cake 1unit,,15.90,,,,,https://jgsj.jayagrocer.com/products/premium-marble-cake-1-pc-1?variant=41612502007975,https://jgsj.jayagrocer.com/collections/bakery
Bakery,Raisin Loaf 1unit,,6.50,7.90,1.40,17.70,,https://jgsj.jayagrocer.com/products/raisin-loaf-1-pc-1?variant=41612414681255,https://jgsj.jayagrocer.com/collections/bakery
