Category,Product,Unit,Price,Slash Price,Savings,Percent savings,Unit Cost,Details Link,Start URL
Bakery,8 Grain Bread 1unit,,8.30,,,,,"<a href=""https://jgsj.jayagrocer.com/products/8-grain-bread-320g-1?variant=41612411011239"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bakery"" target=""_blank"">Start URL</a>"
Bakery,Alpine Grain Bread 1unit,,7.70,,,,,"<a href=""https://jgsj.jayagrocer.com/products/alpine-grain-bread-1-pc-1?variant=41612414484647"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bakery"" target=""_blank"">Start URL</a>"
Bakery,"Anpan (Red Bean) pack, 3pcs",3 pcs,6.00,,,,2.00,"<a href=""https://jgsj.jayagrocer.com/products/anpan-red-bean-3pcs-pack?variant=44737107853479"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bakery"" target=""_blank"">Start URL</a>"
Bakery,Artisan Baguette 1unit,,7.50,,,,,"<a href=""https://jgsj.jayagrocer.com/products/artisan-baguette-1-pc-1?variant=41612147392679"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bakery"" target=""_blank"">Start URL</a>"
Bakery,Artisan Raisin & Cranberry 1unit,,10.90,,,,,"<a href=""https://jgsj.jayagrocer.com/products/artisan-raisin-cranberry-1-pc-1?variant=41612147523751"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bakery"" target=""_blank"">Start URL</a>"
Bakery,"Baby Bun pack, 10pcs",10 pcs,5.30,,,,0.53,"<a href=""https://jgsj.jayagrocer.com/products/baby-bun-10-pcs?variant=41612433227943"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bakery"" target=""_blank"">Start URL</a>"
Bakery,Banana Cake 1unit,,8.50,,,,,"<a href=""https://jgsj.jayagrocer.com/products/banana-cake-1-pc-1?variant=41612440797351"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bakery"" target=""_blank"">Start URL</a>"
Bakery,Blueberries Muffin 1 pc,1 pc,12.90,,,,,"<a href=""https://jgsj.jayagrocer.com/products/blueberries-muffin-1-pc-1?variant=41612455837863"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bakery"" target=""_blank"">Start URL</a>"
Bakery,"Burger Bun pack, 5pcs",5 pcs,6.30,,,,1.26,"<a href=""https://jgsj.jayagrocer.com/products/burger-bun-1pack-1?variant=41628755755175"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bakery"" target=""_blank"">Start URL</a>"
Bakery,Butter Croissant,,15.50,,,,,"<a href=""https://jgsj.jayagrocer.com/products/butter-croissant-4pcs-pack?variant=43455214321831"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bakery"" target=""_blank"">Start URL</a>"
