Start URL,Category,Product,Price,Slash Price,Details Link
https://jgsj.jayagrocer.com/collections/beauty-and-health,Beauty and Health,Zen Goat Milk Hand Wash 500ml,RM 4.90,,https://jgsj.jayagrocer.com/products/zen-goat-milk-hand-wash-500ml-1?variant=41611776229543
https://jgsj.jayagrocer.com/collections/beauty-and-health,Beauty and Health,Zen Hand Wash Lavendar Scent 500ml,RM 4.90,,https://jgsj.jayagrocer.com/products/zen-hand-wash-lavendar-scent-500ml?variant=43015269482663
https://jgsj.jayagrocer.com/collections/beauty-and-health,Beauty and Health,Colgate Triple Action Toothpaste Twinpack 175g x 2,RM 18.89,,https://jgsj.jayagrocer.com/products/colgate-triple-action-original-mint-175g-x-3?variant=41611935088807
https://jgsj.jayagrocer.com/collections/beauty-and-health,Beauty and Health,Zen Strawberry Hand Wash 500ml,RM 4.90,,https://jgsj.jayagrocer.com/products/zen-handwash-strawberry-500ml?variant=41611776360615
https://jgsj.jayagrocer.com/collections/beauty-and-health,Beauty and Health,Kotex Soft and Smooth Proactive Guard Overnight Extra Long 32cm x 24sheets,RM 14.90,,https://jgsj.jayagrocer.com/products/kotex-total-protection-overnight-wing-pad-32cm-x-24pcs-1?variant=41612371919015
https://jgsj.jayagrocer.com/collections/beauty-and-health,Beauty and Health,Dettol Liquid Handwash Sensitive 250ml,RM 10.40,,https://jgsj.jayagrocer.com/products/dettol-sensitive-antibacterial-hand-wash-250g-1?variant=41612240322727
https://jgsj.jayagrocer.com/collections/beauty-and-health,Beauty and Health,Dettol Liquid Handwash Skin Care 225ml,RM 7.55,,https://jgsj.jayagrocer.com/products/dettol-anti-bacterial-skincare-liquid-hand-wash-refill-pack-225ml-1?variant=41612369952935
https://jgsj.jayagrocer.com/collections/beauty-and-health,Beauty and Health,Premier Cotton Buds 160pcs x 4,RM 3.50,,https://jgsj.jayagrocer.com/products/premier-cotton-buds-160tips-x-4packs-1?variant=41611955830951
https://jgsj.jayagrocer.com/collections/beauty-and-health,Beauty and Health,Dove White Bar Soap 90g,RM 4.50,,https://jgsj.jayagrocer.com/products/dove-bar-soap-white-100g-1?variant=41612232360103
https://jgsj.jayagrocer.com/collections/beauty-and-health,Beauty and Health,Fruiser Moisturising Hand Wash Apple Scent Refill 400ml,RM 5.20,,https://jgsj.jayagrocer.com/products/fruiser-handwash-refill-apple-400ml-1?variant=41612079431847
https://jgsj.jayagrocer.com/collections/beauty-and-health,Beauty and Health,Dettol Liquid Handwash Sensitive Value Pack 250ml x 3,RM 28.05,,https://jgsj.jayagrocer.com/products/dettol-h-soap-sensitive-250m-value-pack?variant=42875895546023
https://jgsj.jayagrocer.com/collections/beauty-and-health,Beauty and Health,Darlie Double Action Toothpaste (Jumbo Size) 250g,RM 15.29,,https://jgsj.jayagrocer.com/products/darlie-double-action-toothpaste-250g-1?variant=41612240617639
https://jgsj.jayagrocer.com/collections/beauty-and-health,Beauty and Health,Libresse Daily V-Fresh Slim Panty Liners 32pcs x 3,RM 12.99,RM 18.90,https://jgsj.jayagrocer.com/products/libresse-unscented-slim-pantiliner-32pcs-x-4?variant=41611983978663
